epoch,layer,head,attention_entropy
1,0,0,4.762177
1,0,1,4.634658
1,0,2,4.741211
1,0,3,4.656331
1,1,0,3.608897
1,1,1,3.672041
1,1,2,2.995322
1,1,3,2.754476
2,0,0,4.755496
2,0,1,4.60319
2,0,2,4.709655
2,0,3,4.69457
2,1,0,4.106723
2,1,1,3.852358
2,1,2,3.429391
2,1,3,3.539882
3,0,0,4.755562
3,0,1,4.564409
3,0,2,4.703363
3,0,3,4.705335
3,1,0,4.176532
3,1,1,4.138284
3,1,2,3.706418
3,1,3,3.772354
4,0,0,4.737545
4,0,1,4.548447
4,0,2,4.681403
4,0,3,4.709668
4,1,0,4.37673
4,1,1,4.248628
4,1,2,4.098568
4,1,3,3.807444
5,0,0,4.722311
5,0,1,4.56717
5,0,2,4.690672
5,0,3,4.721636
5,1,0,4.514678
5,1,1,4.371636
5,1,2,4.218531
5,1,3,4.103869
6,0,0,4.721587
6,0,1,4.549865
6,0,2,4.686868
6,0,3,4.724459
6,1,0,4.543481
6,1,1,4.423773
6,1,2,4.361455
6,1,3,4.187988
7,0,0,4.713202
7,0,1,4.543499
7,0,2,4.689134
7,0,3,4.73694
7,1,0,4.595191
7,1,1,4.526892
7,1,2,4.455425
7,1,3,4.417803
8,0,0,4.68547
8,0,1,4.5406
8,0,2,4.61932
8,0,3,4.731556
8,1,0,4.614347
8,1,1,4.575788
8,1,2,4.49582
8,1,3,4.390449
9,0,0,4.675931
9,0,1,4.536673
9,0,2,4.66409
9,0,3,4.735496
9,1,0,4.643439
9,1,1,4.574777
9,1,2,4.559087
9,1,3,4.439366
10,0,0,4.681858
10,0,1,4.522024
10,0,2,4.681803
10,0,3,4.737169
10,1,0,4.58789
10,1,1,4.583247
10,1,2,4.510012
10,1,3,4.510767
11,0,0,4.647551
11,0,1,4.532748
11,0,2,4.652853
11,0,3,4.739581
11,1,0,4.669178
11,1,1,4.646013
11,1,2,4.605766
11,1,3,4.524934
12,0,0,4.672084
12,0,1,4.523876
12,0,2,4.682251
12,0,3,4.738789
12,1,0,4.649615
12,1,1,4.628977
12,1,2,4.62508
12,1,3,4.508556
13,0,0,4.628703
13,0,1,4.521193
13,0,2,4.653289
13,0,3,4.748035
13,1,0,4.672329
13,1,1,4.6426
13,1,2,4.614011
13,1,3,4.57157
14,0,0,4.65574
14,0,1,4.50916
14,0,2,4.688704
14,0,3,4.739231
14,1,0,4.681384
14,1,1,4.63686
14,1,2,4.617517
14,1,3,4.562735
15,0,0,4.618793
15,0,1,4.511584
15,0,2,4.634736
15,0,3,4.741611
15,1,0,4.683984
15,1,1,4.665984
15,1,2,4.645094
15,1,3,4.601948
